,Household_ID,Daily_Water_Usage_Liters,Number_of_Family_Members,Type_of_Residence,Water_Source,Monthly_Water_Bill,Smart_Meter_Reading,Leakage_Detection,Region,Income_Bracket,Number_of_Bathrooms,Average_Shower_Time_Minutes,Rainwater_Harvesting
1,HH000002,193.09,4.0,apartment,municipal,27.87,189.72,No,Urban,Medium,2.0,5.05,No
8,HH000009,176.53,5.0,apartment,municipal,28.81,172.1,No,Suburban,Medium,1.0,10.08,No
23,HH000024,128.76,6.0,house,municipal,19.75,141.61,No,Suburban,Medium,1,6.59,No
36,HH000037,210.44,3.0,apartment,rainwater harvesting,34.43,203.16,No,Urban,Low,3.0,7.09,No
40,HH000041,236.92,4.0,apartment,municipal,32.49,236.51,No,Rural,Medium,3.0,4.73,No
43,HH000044,184.94,3.0,apartment,municipal,28.7,195.55,No,Urban,High,1,3.48,No
48,HH000049,217.18,3,apartment,municipal,30.32,211.04,No,Urban,Medium,2.0,6.88,Yes
53,HH000054,230.58,5.0,apartment,municipal,34.12,232.47,No,Urban,Medium,1,4.07,No
55,HH000056,246.56,3.0,house,municipal,37.27,241.91,No,Urban,Medium,2.0,11.62,No
70,HH000071,218.07,4.0,house,municipal,34.77,218.96,No,Urban,Medium,1.0,7.83,No
78,HH000079,204.59,3.0,house,municipal,30.17,210.76,Yes,Urban,Medium,3.0,11.03,No
85,HH000086,174.91,3.0,apartment,municipal,28.2,179.5,Yes,Rural,Low,1,8.36,No
89,HH000090,225.66,3.0,house,municipal,33.24,230.37,No,Suburban,Medium,1,7.66,No
91,HH000092,248.43,3,apartment,municipal,36.64,248.16,No,Suburban,High,1,6.74,No
97,HH000098,213.05,3,apartment,rainwater harvesting,32.99,207.77,No,Urban,Medium,1.0,11.29,Yes
102,HH000103,182.86,3,apartment,municipal,25.37,187.17,No,Urban,Low,1.0,8.43,No
104,HH000105,191.94,3,apartment,municipal,27.33,188.87,No,Urban,Medium,2.0,4.47,No
109,HH000110,196.28,6.0,house,municipal,29.7,199.35,No,Urban,Medium,1.0,5.6,No
113,HH000114,323.16,3,apartment,municipal,47.52,329.15,No,Suburban,Medium,3.0,9.58,No
114,HH000115,190.38,3,apartment,municipal,30.3,201.93,No,Urban,Medium,1.0,12.97,No
117,HH000118,141.57,3.0,apartment,well,20.6,136.06,No,Urban,Medium,1.0,5.29,No
124,HH000125,229.34,3.0,apartment,borewell,32.08,230.36,No,Suburban,Low,1,11.83,No
127,HH000128,171.69,3,house,rainwater harvesting,27.47,169.69,No,Suburban,Medium,1.0,9.65,No
129,HH000130,174.83,2.0,apartment,municipal,26.14,171.46,No,Urban,Medium,2.0,8.11,No
133,HH000134,223.68,3.0,apartment,municipal,34.93,224.26,No,Urban,High,1,14.97,No
135,HH000136,277.5,4.0,apartment,municipal,43.6,281.37,No,Urban,Medium,1,12.25,Yes
152,HH000153,166.0,6.0,house,municipal,22.64,174.23,No,Suburban,Medium,2.0,9.43,No
153,HH000154,211.61,3,apartment,municipal,31.59,210.96,No,Rural,Medium,1,4.88,No
